NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Rocky Point, Eld Inlet 
State:  
Stationid: TWC1115
ReferencedToStationName: Seattle
ReferencedToStationId: 9447130
HeightOffsetLow: * 1.1
HeightOffsetHigh: * 1.31
TimeOffsetLow: 56
TimeOffsetHigh: 39
Prediction Type: Subordinate
From: 20230101 02:19 - 20231231 19:38
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2023/05/13	Sat	01:35 AM	14.95		456			H
2023/05/13	Sat	08:20 AM	6.40		195			L
2023/05/13	Sat	12:26 PM	10.28		313			H
2023/05/13	Sat	07:15 PM	0.71		22			L
2023/05/14	Sun	02:22 AM	15.11		461			H
2023/05/14	Sun	09:15 AM	4.68		143			L
2023/05/14	Sun	02:04 PM	10.38		316			H
2023/05/14	Sun	08:21 PM	1.91		58			L
2023/05/15	Mon	03:00 AM	15.29		466			H
2023/05/15	Mon	10:00 AM	2.82		86			L
2023/05/15	Mon	03:32 PM	11.11		339			H
2023/05/15	Mon	09:24 PM	3.13		95			L
2023/05/16	Tue	03:34 AM	15.41		470			H
2023/05/16	Tue	10:39 AM	1.04		32			L
2023/05/16	Tue	04:46 PM	12.17		371			H
2023/05/16	Tue	10:23 PM	4.37		133			L
2023/05/17	Wed	04:05 AM	15.40		469			H
2023/05/17	Wed	11:16 AM	-0.49		-15			L
2023/05/17	Wed	05:49 PM	13.28		405			H
2023/05/17	Wed	11:17 PM	5.55		169			L
2023/05/18	Thu	04:35 AM	15.21		464			H
2023/05/18	Thu	11:51 AM	-1.65		-50			L
2023/05/18	Thu	06:45 PM	14.23		434			H
2023/05/19	Fri	12:10 AM	6.60		201			L
2023/05/19	Fri	05:06 AM	14.84		452			H
2023/05/19	Fri	12:25 PM	-2.38		-73			L
2023/05/19	Fri	07:34 PM	14.92		455			H
2023/05/20	Sat	01:01 AM	7.42		226			L
2023/05/20	Sat	05:37 AM	14.30		436			H
2023/05/20	Sat	01:00 PM	-2.68		-82			L
2023/05/20	Sat	08:20 PM	15.30		466			H
2023/05/21	Sun	01:53 AM	7.99		244			L
2023/05/21	Sun	06:11 AM	13.62		415			H
2023/05/21	Sun	01:36 PM	-2.61		-80			L
2023/05/21	Sun	09:03 PM	15.40		469			H
2023/05/22	Mon	02:45 AM	8.29		253			L
2023/05/22	Mon	06:48 AM	12.88		393			H
2023/05/22	Mon	02:14 PM	-2.24		-68			L
2023/05/22	Mon	09:46 PM	15.27		465			H
2023/05/23	Tue	03:41 AM	8.36		255			L
2023/05/23	Tue	07:28 AM	12.09		369			H
2023/05/23	Tue	02:55 PM	-1.64		-50			L
2023/05/23	Tue	10:29 PM	14.99		457			H
2023/05/24	Wed	04:42 AM	8.23		251			L
2023/05/24	Wed	08:14 AM	11.27		344			H
2023/05/24	Wed	03:38 PM	-0.88		-27			L
2023/05/24	Wed	11:14 PM	14.67		447			H
2023/05/25	Thu	05:51 AM	7.88		240			L
2023/05/25	Thu	09:08 AM	10.43		318			H
2023/05/25	Thu	04:24 PM	0.01		0			L
2023/05/25	Thu	11:59 PM	14.41		439			H
2023/05/26	Fri	07:05 AM	7.25		221			L
2023/05/26	Fri	10:16 AM	9.64		294			H
2023/05/26	Fri	05:14 PM	1.00		30			L
2023/05/27	Sat	12:43 AM	14.25		434			H
2023/05/27	Sat	08:05 AM	6.36		194			L
2023/05/27	Sat	11:36 AM	9.05		276			H
2023/05/27	Sat	06:07 PM	2.08		63			L
2023/05/28	Sun	01:23 AM	14.19		433			H
2023/05/28	Sun	08:48 AM	5.26		160			L
2023/05/28	Sun	01:03 PM	8.92		272			H
2023/05/28	Sun	07:04 PM	3.21		98			L
2023/05/29	Mon	01:58 AM	14.21		433			H
2023/05/29	Mon	09:21 AM	3.99		122			L
2023/05/29	Mon	02:27 PM	9.37		286			H
2023/05/29	Mon	08:03 PM	4.34		132			L
2023/05/30	Tue	02:29 AM	14.25		434			H
2023/05/30	Tue	09:49 AM	2.58		79			L
2023/05/30	Tue	03:43 PM	10.33		315			H
2023/05/30	Tue	09:02 PM	5.44		166			L
2023/05/31	Wed	02:58 AM	14.30		436			H
2023/05/31	Wed	10:17 AM	1.10		34			L
2023/05/31	Wed	04:46 PM	11.57		353			H
2023/05/31	Wed	09:58 PM	6.45		197			L
2023/06/01	Thu	03:25 AM	14.35		437			H
2023/06/01	Thu	10:48 AM	-0.38		-12			L
2023/06/01	Thu	05:40 PM	12.85		392			H
2023/06/01	Thu	10:51 PM	7.33		223			L
2023/06/02	Fri	03:53 AM	14.39		439			H
2023/06/02	Fri	11:21 AM	-1.74		-53			L
2023/06/02	Fri	06:28 PM	14.00		427			H
2023/06/02	Fri	11:42 PM	8.05		245			L
2023/06/03	Sat	04:24 AM	14.42		440			H
2023/06/03	Sat	11:58 AM	-2.87		-87			L
2023/06/03	Sat	07:14 PM	14.91		454			H
2023/06/04	Sun	12:32 AM	8.57		261			L
2023/06/04	Sun	04:58 AM	14.39		439			H
2023/06/04	Sun	12:38 PM	-3.67		-112			L
2023/06/04	Sun	08:00 PM	15.52		473			H
2023/06/05	Mon	01:22 AM	8.86		270			L
2023/06/05	Mon	05:38 AM	14.26		435			H
2023/06/05	Mon	01:22 PM	-4.07		-124			L
2023/06/05	Mon	08:47 PM	15.84		483			H
2023/06/06	Tue	02:15 AM	8.91		272			L
2023/06/06	Tue	06:23 AM	13.94		425			H
2023/06/06	Tue	02:09 PM	-4.04		-123			L
2023/06/06	Tue	09:35 PM	15.93		486			H
2023/06/07	Wed	03:12 AM	8.71		265			L
2023/06/07	Wed	07:16 AM	13.37		408			H
2023/06/07	Wed	02:59 PM	-3.56		-109			L
2023/06/07	Wed	10:25 PM	15.90		485			H
2023/06/08	Thu	04:15 AM	8.22		251			L
2023/06/08	Thu	08:17 AM	12.52		382			H
2023/06/08	Thu	03:51 PM	-2.63		-80			L
2023/06/08	Thu	11:13 PM	15.83		482			H
2023/06/09	Fri	05:25 AM	7.36		224			L
2023/06/09	Fri	09:31 AM	11.45		349			H
2023/06/09	Fri	04:45 PM	-1.29		-39			L
2023/06/10	Sat	12:00 AM	15.78		481			H
2023/06/10	Sat	06:38 AM	6.09		186			L
2023/06/10	Sat	10:57 AM	10.43		318			H
2023/06/10	Sat	05:42 PM	0.39		12			L
2023/06/11	Sun	12:44 AM	15.74		480			H
2023/06/11	Sun	07:45 AM	4.46		136			L
2023/06/11	Sun	12:34 PM	9.87		301			H
2023/06/11	Sun	06:43 PM	2.26		69			L
2023/06/12	Mon	01:25 AM	15.70		479			H
2023/06/12	Mon	08:41 AM	2.66		81			L
2023/06/12	Mon	02:17 PM	10.14		309			H
2023/06/12	Mon	07:49 PM	4.12		126			L
2023/06/13	Tue	02:04 AM	15.59		475			H
2023/06/13	Tue	09:29 AM	0.93		28			L
2023/06/13	Tue	03:54 PM	11.22		342			H
2023/06/13	Tue	08:59 PM	5.74		175			L
2023/06/14	Wed	02:41 AM	15.37		468			H
2023/06/14	Wed	10:11 AM	-0.55		-17			L
2023/06/14	Wed	05:10 PM	12.62		385			H
2023/06/14	Wed	10:08 PM	6.99		213			L
2023/06/15	Thu	03:17 AM	15.03		458			H
2023/06/15	Thu	10:49 AM	-1.64		-50			L
2023/06/15	Thu	06:11 PM	13.90		424			H
2023/06/15	Thu	11:13 PM	7.84		239			L
2023/06/16	Fri	03:52 AM	14.57		444			H
2023/06/16	Fri	11:26 AM	-2.32		-71			L
2023/06/16	Fri	07:00 PM	14.82		452			H
2023/06/17	Sat	12:12 AM	8.34		254			L
2023/06/17	Sat	04:28 AM	14.05		428			H
2023/06/17	Sat	12:01 PM	-2.63		-80			L
2023/06/17	Sat	07:43 PM	15.33		467			H
2023/06/18	Sun	01:05 AM	8.55		261			L
2023/06/18	Sun	05:05 AM	13.50		411			H
2023/06/18	Sun	12:37 PM	-2.65		-81			L
2023/06/18	Sun	08:21 PM	15.50		472			H
2023/06/19	Mon	01:54 AM	8.56		261			L
2023/06/19	Mon	05:44 AM	12.96		395			H
2023/06/19	Mon	01:14 PM	-2.45		-75			L
2023/06/19	Mon	08:55 PM	15.44		471			H
2023/06/20	Tue	02:39 AM	8.41		256			L
2023/06/20	Tue	06:26 AM	12.44		379			H
2023/06/20	Tue	01:52 PM	-2.10		-64			L
2023/06/20	Tue	09:27 PM	15.29		466			H
2023/06/21	Wed	03:23 AM	8.14		248			L
2023/06/21	Wed	07:10 AM	11.89		362			H
2023/06/21	Wed	02:31 PM	-1.60		-49			L
2023/06/21	Wed	09:58 PM	15.13		461			H
2023/06/22	Thu	04:08 AM	7.75		236			L
2023/06/22	Thu	07:57 AM	11.29		344			H
2023/06/22	Thu	03:11 PM	-0.92		-28			L
2023/06/22	Thu	10:31 PM	15.00		457			H
2023/06/23	Fri	04:56 AM	7.21		220			L
2023/06/23	Fri	08:50 AM	10.60		323			H
2023/06/23	Fri	03:51 PM	-0.01		-0			L
2023/06/23	Fri	11:04 PM	14.90		454			H
2023/06/24	Sat	05:46 AM	6.48		198			L
2023/06/24	Sat	09:51 AM	9.87		301			H
2023/06/24	Sat	04:33 PM	1.16		35			L
2023/06/24	Sat	11:38 PM	14.81		451			H
2023/06/25	Sun	06:37 AM	5.53		169			L
2023/06/25	Sun	11:02 AM	9.27		283			H
2023/06/25	Sun	05:16 PM	2.57		78			L
2023/06/26	Mon	12:11 AM	14.71		448			H
2023/06/26	Mon	07:25 AM	4.36		133			L
2023/06/26	Mon	12:24 PM	9.06		276			H
2023/06/26	Mon	06:03 PM	4.14		126			L
2023/06/27	Tue	12:45 AM	14.57		444			H
2023/06/27	Tue	08:08 AM	3.01		92			L
2023/06/27	Tue	01:55 PM	9.48		289			H
2023/06/27	Tue	06:59 PM	5.74		175			L
2023/06/28	Wed	01:17 AM	14.44		440			H
2023/06/28	Wed	08:48 AM	1.55		47			L
2023/06/28	Wed	03:27 PM	10.56		322			H
2023/06/28	Wed	08:07 PM	7.17		219			L
2023/06/29	Thu	01:51 AM	14.33		437			H
2023/06/29	Thu	09:28 AM	0.06		2			L
2023/06/29	Thu	04:43 PM	11.98		365			H
2023/06/29	Thu	09:19 PM	8.24		251			L
2023/06/30	Fri	02:26 AM	14.30		436			H
2023/06/30	Fri	10:08 AM	-1.35		-41			L
2023/06/30	Fri	05:41 PM	13.35		407			H
2023/06/30	Fri	10:27 PM	8.90		271			L
2023/07/01	Sat	03:04 AM	14.34		437			H
2023/07/01	Sat	10:50 AM	-2.59		-79			L
2023/07/01	Sat	06:28 PM	14.46		441			H
2023/07/01	Sat	11:26 PM	9.20		280			L
2023/07/02	Sun	03:47 AM	14.44		440			H
2023/07/02	Sun	11:34 AM	-3.56		-109			L
2023/07/02	Sun	07:10 PM	15.24		465			H
2023/07/03	Mon	12:20 AM	9.21		281			L
2023/07/03	Mon	04:34 AM	14.51		442			H
2023/07/03	Mon	12:20 PM	-4.18		-127			L
2023/07/03	Mon	07:52 PM	15.73		479			H
2023/07/04	Tue	01:11 AM	8.95		273			L
2023/07/04	Tue	05:25 AM	14.44		440			H
2023/07/04	Tue	01:08 PM	-4.39		-134			L
2023/07/04	Tue	08:33 PM	16.02		488			H
2023/07/05	Wed	02:03 AM	8.45		258			L
2023/07/05	Wed	06:21 AM	14.14		431			H
2023/07/05	Wed	01:56 PM	-4.12		-126			L
2023/07/05	Wed	09:14 PM	16.17		493			H
2023/07/06	Thu	02:57 AM	7.69		234			L
2023/07/06	Thu	07:21 AM	13.53		412			H
2023/07/06	Thu	02:44 PM	-3.31		-101			L
2023/07/06	Thu	09:54 PM	16.25		495			H
2023/07/07	Fri	03:55 AM	6.70		204			L
2023/07/07	Fri	08:26 AM	12.62		385			H
2023/07/07	Fri	03:33 PM	-1.96		-60			L
2023/07/07	Fri	10:33 PM	16.26		496			H
2023/07/08	Sat	04:55 AM	5.48		167			L
2023/07/08	Sat	09:38 AM	11.54		352			H
2023/07/08	Sat	04:22 PM	-0.14		-4			L
2023/07/08	Sat	11:12 PM	16.18		493			H
2023/07/09	Sun	05:58 AM	4.09		125			L
2023/07/09	Sun	11:01 AM	10.59		323			H
2023/07/09	Sun	05:15 PM	2.02		62			L
2023/07/09	Sun	11:51 PM	15.99		487			H
2023/07/10	Mon	07:00 AM	2.62		80			L
2023/07/10	Mon	12:39 PM	10.19		311			H
2023/07/10	Mon	06:13 PM	4.27		130			L
2023/07/11	Tue	12:31 AM	15.64		477			H
2023/07/11	Tue	07:58 AM	1.20		37			L
2023/07/11	Tue	02:31 PM	10.73		327			H
2023/07/11	Tue	07:24 PM	6.29		192			L
2023/07/12	Wed	01:12 AM	15.15		462			H
2023/07/12	Wed	08:51 AM	-0.02		-1			L
2023/07/12	Wed	04:11 PM	12.06		368			H
2023/07/12	Wed	08:49 PM	7.74		236			L
2023/07/13	Thu	01:56 AM	14.59		445			H
2023/07/13	Thu	09:40 AM	-0.94		-29			L
2023/07/13	Thu	05:22 PM	13.48		411			H
2023/07/13	Thu	10:15 PM	8.45		258			L
2023/07/14	Fri	02:40 AM	14.02		427			H
2023/07/14	Fri	10:23 AM	-1.54		-47			L
2023/07/14	Fri	06:14 PM	14.53		443			H
2023/07/14	Fri	11:25 PM	8.62		263			L
2023/07/15	Sat	03:26 AM	13.52		412			H
2023/07/15	Sat	11:04 AM	-1.86		-57			L
2023/07/15	Sat	06:57 PM	15.10		460			H
2023/07/16	Sun	12:20 AM	8.52		260			L
2023/07/16	Sun	04:11 AM	13.14		401			H
2023/07/16	Sun	11:43 AM	-1.97		-60			L
2023/07/16	Sun	07:32 PM	15.27		465			H
2023/07/17	Mon	01:05 AM	8.31		253			L
2023/07/17	Mon	04:55 AM	12.85		392			H
2023/07/17	Mon	12:20 PM	-1.95		-59			L
2023/07/17	Mon	08:02 PM	15.20		463			H
2023/07/18	Tue	01:42 AM	8.04		245			L
2023/07/18	Tue	05:37 AM	12.62		385			H
2023/07/18	Tue	12:57 PM	-1.81		-55			L
2023/07/18	Tue	08:28 PM	15.07		459			H
2023/07/19	Wed	02:15 AM	7.69		234			L
2023/07/19	Wed	06:20 AM	12.38		377			H
2023/07/19	Wed	01:33 PM	-1.54		-47			L
2023/07/19	Wed	08:51 PM	14.98		457			H
2023/07/20	Thu	02:47 AM	7.23		220			L
2023/07/20	Thu	07:03 AM	12.07		368			H
2023/07/20	Thu	02:09 PM	-1.07		-33			L
2023/07/20	Thu	09:14 PM	14.97		456			H
2023/07/21	Fri	03:22 AM	6.64		202			L
2023/07/21	Fri	07:48 AM	11.64		355			H
2023/07/21	Fri	02:44 PM	-0.34		-10			L
2023/07/21	Fri	09:40 PM	15.00		457			H
2023/07/22	Sat	03:59 AM	5.92		180			L
2023/07/22	Sat	08:37 AM	11.11		339			H
2023/07/22	Sat	03:20 PM	0.70		21			L
2023/07/22	Sat	10:07 PM	14.99		457			H
2023/07/23	Sun	04:40 AM	5.06		154			L
2023/07/23	Sun	09:33 AM	10.55		322			H
2023/07/23	Sun	03:56 PM	2.06		63			L
2023/07/23	Sun	10:35 PM	14.88		454			H
2023/07/24	Mon	05:23 AM	4.10		125			L
2023/07/24	Mon	10:37 AM	10.10		308			H
2023/07/24	Mon	04:33 PM	3.66		112			L
2023/07/24	Mon	11:05 PM	14.65		447			H
2023/07/25	Tue	06:10 AM	3.05		93			L
2023/07/25	Tue	11:53 AM	9.93		303			H
2023/07/25	Tue	05:15 PM	5.39		164			L
2023/07/25	Tue	11:36 PM	14.35		437			H
2023/07/26	Wed	06:59 AM	1.93		59			L
2023/07/26	Wed	01:24 PM	10.28		313			H
2023/07/26	Wed	06:10 PM	7.07		215			L
2023/07/27	Thu	12:11 AM	14.05		428			H
2023/07/27	Thu	07:51 AM	0.75		23			L
2023/07/27	Thu	03:10 PM	11.24		343			H
2023/07/27	Thu	07:27 PM	8.44		257			L
2023/07/28	Fri	12:52 AM	13.84		422			H
2023/07/28	Fri	08:43 AM	-0.44		-13			L
2023/07/28	Fri	04:37 PM	12.55		383			H
2023/07/28	Fri	09:00 PM	9.21		281			L
2023/07/29	Sat	01:40 AM	13.78		420			H
2023/07/29	Sat	09:35 AM	-1.60		-49			L
2023/07/29	Sat	05:31 PM	13.71		418			H
2023/07/29	Sat	10:18 PM	9.37		286			L
2023/07/30	Sun	02:35 AM	13.92		424			H
2023/07/30	Sun	10:27 AM	-2.64		-80			L
2023/07/30	Sun	06:13 PM	14.58		444			H
2023/07/30	Sun	11:17 PM	9.11		278			L
2023/07/31	Mon	03:33 AM	14.19		433			H
2023/07/31	Mon	11:17 AM	-3.44		-105			L
2023/07/31	Mon	06:49 PM	15.17		462			H
2023/08/01	Tue	12:07 AM	8.56		261			L
2023/08/01	Tue	04:30 AM	14.45		440			H
2023/08/01	Tue	12:05 PM	-3.87		-118			L
2023/08/01	Tue	07:24 PM	15.57		475			H
2023/08/02	Wed	12:54 AM	7.76		237			L
2023/08/02	Wed	05:28 AM	14.54		443			H
2023/08/02	Wed	12:53 PM	-3.80		-116			L
2023/08/02	Wed	07:59 PM	15.85		483			H
2023/08/03	Thu	01:42 AM	6.74		205			L
2023/08/03	Thu	06:27 AM	14.32		436			H
2023/08/03	Thu	01:40 PM	-3.17		-97			L
2023/08/03	Thu	08:33 PM	16.06		490			H
2023/08/04	Fri	02:32 AM	5.57		170			L
2023/08/04	Fri	07:28 AM	13.77		420			H
2023/08/04	Fri	02:26 PM	-1.94		-59			L
2023/08/04	Fri	09:07 PM	16.17		493			H
2023/08/05	Sat	03:23 AM	4.31		131			L
2023/08/05	Sat	08:32 AM	12.97		395			H
2023/08/05	Sat	03:12 PM	-0.19		-6			L
2023/08/05	Sat	09:42 PM	16.14		492			H
2023/08/06	Sun	04:17 AM	3.08		94			L
2023/08/06	Sun	09:42 AM	12.08		368			H
2023/08/06	Sun	03:59 PM	1.92		59			L
2023/08/06	Sun	10:18 PM	15.89		484			H
2023/08/07	Mon	05:12 AM	1.99		61			L
2023/08/07	Mon	11:02 AM	11.38		347			H
2023/08/07	Mon	04:50 PM	4.16		127			L
2023/08/07	Mon	10:56 PM	15.38		469			H
2023/08/08	Tue	06:09 AM	1.11		34			L
2023/08/08	Tue	12:40 PM	11.20		341			H
2023/08/08	Tue	05:52 PM	6.26		191			L
2023/08/08	Tue	11:38 PM	14.67		447			H
2023/08/09	Wed	07:09 AM	0.45		14			L
2023/08/09	Wed	02:34 PM	11.83		361			H
2023/08/09	Wed	07:18 PM	7.85		239			L
2023/08/10	Thu	12:26 AM	13.84		422			H
2023/08/10	Thu	08:08 AM	-0.02		-1			L
2023/08/10	Thu	04:07 PM	12.99		396			H
2023/08/10	Thu	09:07 PM	8.52		260			L
2023/08/11	Fri	01:21 AM	13.09		399			H
2023/08/11	Fri	09:06 AM	-0.37		-11			L
2023/08/11	Fri	05:09 PM	14.01		427			H
2023/08/11	Fri	10:33 PM	8.39		256			L
2023/08/12	Sat	02:21 AM	12.58		383			H
2023/08/12	Sat	09:58 AM	-0.63		-19			L
2023/08/12	Sat	05:55 PM	14.61		445			H
2023/08/12	Sat	11:31 PM	7.98		243			L
2023/08/13	Sun	03:20 AM	12.37		377			H
2023/08/13	Sun	10:45 AM	-0.81		-25			L
2023/08/13	Sun	06:31 PM	14.82		452			H
2023/08/14	Mon	12:13 AM	7.55		230			L
2023/08/14	Mon	04:11 AM	12.37		377			H
2023/08/14	Mon	11:26 AM	-0.92		-28			L
2023/08/14	Mon	07:00 PM	14.77		450			H
2023/08/15	Tue	12:45 AM	7.14		218			L
2023/08/15	Tue	04:57 AM	12.45		379			H
2023/08/15	Tue	12:03 PM	-0.92		-28			L
2023/08/15	Tue	07:23 PM	14.63		446			H
2023/08/16	Wed	01:13 AM	6.71		205			L
2023/08/16	Wed	05:38 AM	12.52		382			H
2023/08/16	Wed	12:38 PM	-0.77		-23			L
2023/08/16	Wed	07:41 PM	14.54		443			H
2023/08/17	Thu	01:38 AM	6.17		188			L
2023/08/17	Thu	06:18 AM	12.50		381			H
2023/08/17	Thu	01:11 PM	-0.41		-12			L
2023/08/17	Thu	07:59 PM	14.56		444			H
2023/08/18	Fri	02:05 AM	5.51		168			L
2023/08/18	Fri	06:59 AM	12.38		377			H
2023/08/18	Fri	01:44 PM	0.21		6			L
2023/08/18	Fri	08:19 PM	14.64		446			H
2023/08/19	Sat	02:35 AM	4.72		144			L
2023/08/19	Sat	07:42 AM	12.18		371			H
2023/08/19	Sat	02:16 PM	1.12		34			L
2023/08/19	Sat	08:41 PM	14.69		448			H
2023/08/20	Sun	03:08 AM	3.85		117			L
2023/08/20	Sun	08:29 AM	11.92		363			H
2023/08/20	Sun	02:50 PM	2.32		71			L
2023/08/20	Sun	09:06 PM	14.62		446			H
2023/08/21	Mon	03:45 AM	2.98		91			L
2023/08/21	Mon	09:21 AM	11.65		355			H
2023/08/21	Mon	03:25 PM	3.74		114			L
2023/08/21	Mon	09:32 PM	14.39		439			H
2023/08/22	Tue	04:25 AM	2.16		66			L
2023/08/22	Tue	10:20 AM	11.42		348			H
2023/08/22	Tue	04:02 PM	5.29		161			L
2023/08/22	Tue	09:59 PM	14.04		428			H
2023/08/23	Wed	05:11 AM	1.43		44			L
2023/08/23	Wed	11:31 AM	11.30		344			H
2023/08/23	Wed	04:46 PM	6.84		208			L
2023/08/23	Wed	10:29 PM	13.61		415			H
2023/08/24	Thu	06:03 AM	0.78		24			L
2023/08/24	Thu	12:59 PM	11.46		349			H
2023/08/24	Thu	05:47 PM	8.21		250			L
2023/08/24	Thu	11:08 PM	13.20		402			H
2023/08/25	Fri	07:02 AM	0.15		5			L
2023/08/25	Fri	02:49 PM	12.11		369			H
2023/08/25	Fri	07:22 PM	9.12		278			L
2023/08/26	Sat	12:04 AM	12.89		393			H
2023/08/26	Sat	08:05 AM	-0.55		-17			L
2023/08/26	Sat	04:13 PM	13.07		398			H
2023/08/26	Sat	09:08 PM	9.23		281			L
2023/08/27	Sun	01:16 AM	12.84		391			H
2023/08/27	Sun	09:08 AM	-1.34		-41			L
2023/08/27	Sun	05:02 PM	13.91		424			H
2023/08/27	Sun	10:18 PM	8.72		266			L
2023/08/28	Mon	02:29 AM	13.15		401			H
2023/08/28	Mon	10:06 AM	-2.09		-64			L
2023/08/28	Mon	05:38 PM	14.53		443			H
2023/08/28	Mon	11:07 PM	7.87		240			L
2023/08/29	Tue	03:36 AM	13.66		416			H
2023/08/29	Tue	10:59 AM	-2.57		-78			L
2023/08/29	Tue	06:10 PM	15.00		457			H
2023/08/29	Tue	11:51 PM	6.76		206			L
2023/08/30	Wed	04:37 AM	14.15		431			H
2023/08/30	Wed	11:49 AM	-2.61		-80			L
2023/08/30	Wed	06:40 PM	15.37		468			H
2023/08/31	Thu	12:34 AM	5.45		166			L
2023/08/31	Thu	05:36 AM	14.41		439			H
2023/08/31	Thu	12:35 PM	-2.09		-64			L
2023/08/31	Thu	07:10 PM	15.66		477			H
2023/09/01	Fri	01:17 AM	4.04		123			L
2023/09/01	Fri	06:34 AM	14.37		438			H
2023/09/01	Fri	01:20 PM	-1.00		-30			L
2023/09/01	Fri	07:41 PM	15.84		483			H
2023/09/02	Sat	02:02 AM	2.67		81			L
2023/09/02	Sat	07:34 AM	14.07		429			H
2023/09/02	Sat	02:05 PM	0.57		17			L
2023/09/02	Sat	08:12 PM	15.84		483			H
2023/09/03	Sun	02:48 AM	1.47		45			L
2023/09/03	Sun	08:36 AM	13.60		415			H
2023/09/03	Sun	02:51 PM	2.45		75			L
2023/09/03	Sun	08:46 PM	15.57		475			H
2023/09/04	Mon	03:35 AM	0.60		18			L
2023/09/04	Mon	09:43 AM	13.09		399			H
2023/09/04	Mon	03:39 PM	4.42		135			L
2023/09/04	Mon	09:21 PM	15.00		457			H
2023/09/05	Tue	04:25 AM	0.13		4			L
2023/09/05	Tue	10:59 AM	12.68		386			H
2023/09/05	Tue	04:35 PM	6.26		191			L
2023/09/05	Tue	10:00 PM	14.15		431			H
2023/09/06	Wed	05:17 AM	0.05		2			L
2023/09/06	Wed	12:31 PM	12.56		383			H
2023/09/06	Wed	05:49 PM	7.71		235			L
2023/09/06	Wed	10:46 PM	13.12		400			H
2023/09/07	Thu	06:16 AM	0.24		7			L
2023/09/07	Thu	02:16 PM	12.92		394			H
2023/09/07	Thu	07:42 PM	8.39		256			L
2023/09/07	Thu	11:45 PM	12.11		369			H
2023/09/08	Fri	07:20 AM	0.50		15			L
2023/09/08	Fri	03:38 PM	13.55		413			H
2023/09/08	Fri	09:30 PM	8.09		247			L
2023/09/09	Sat	12:58 AM	11.40		347			H
2023/09/09	Sat	08:28 AM	0.62		19			L
2023/09/09	Sat	04:34 PM	14.06		429			H
2023/09/09	Sat	10:34 PM	7.41		226			L
2023/09/10	Sun	02:15 AM	11.21		342			H
2023/09/10	Sun	09:29 AM	0.56		17			L
2023/09/10	Sun	05:15 PM	14.31		436			H
2023/09/10	Sun	11:16 PM	6.74		205			L
2023/09/11	Mon	03:20 AM	11.44		349			H
2023/09/11	Mon	10:21 AM	0.45		14			L
2023/09/11	Mon	05:46 PM	14.34		437			H
2023/09/11	Mon	11:48 PM	6.11		186			L
2023/09/12	Tue	04:13 AM	11.82		360			H
2023/09/12	Tue	11:03 AM	0.40		12			L
2023/09/12	Tue	06:09 PM	14.26		435			H
2023/09/13	Wed	12:14 AM	5.51		168			L
2023/09/13	Wed	04:57 AM	12.18		371			H
2023/09/13	Wed	11:40 AM	0.53		16			L
2023/09/13	Wed	06:26 PM	14.20		433			H
2023/09/14	Thu	12:36 AM	4.83		147			L
2023/09/14	Thu	05:38 AM	12.47		380			H
2023/09/14	Thu	12:13 PM	0.88		27			L
2023/09/14	Thu	06:41 PM	14.21		433			H
2023/09/15	Fri	12:59 AM	4.05		123			L
2023/09/15	Fri	06:17 AM	12.68		386			H
2023/09/15	Fri	12:45 PM	1.49		45			L
2023/09/15	Fri	06:58 PM	14.29		436			H
2023/09/16	Sat	01:24 AM	3.16		96			L
2023/09/16	Sat	06:57 AM	12.84		391			H
2023/09/16	Sat	01:17 PM	2.34		71			L
2023/09/16	Sat	07:17 PM	14.34		437			H
2023/09/17	Sun	01:52 AM	2.24		68			L
2023/09/17	Sun	07:40 AM	12.97		395			H
2023/09/17	Sun	01:50 PM	3.39		103			L
2023/09/17	Sun	07:39 PM	14.28		435			H
2023/09/18	Mon	02:24 AM	1.36		41			L
2023/09/18	Mon	08:25 AM	13.06		398			H
2023/09/18	Mon	02:25 PM	4.59		140			L
2023/09/18	Mon	08:03 PM	14.09		429			H
2023/09/19	Tue	03:00 AM	0.62		19			L
2023/09/19	Tue	09:15 AM	13.06		398			H
2023/09/19	Tue	03:03 PM	5.85		178			L
2023/09/19	Tue	08:28 PM	13.76		419			H
2023/09/20	Wed	03:40 AM	0.11		3			L
2023/09/20	Wed	10:11 AM	12.96		395			H
2023/09/20	Wed	03:46 PM	7.08		216			L
2023/09/20	Wed	08:54 PM	13.33		406			H
2023/09/21	Thu	04:26 AM	-0.16		-5			L
2023/09/21	Thu	11:18 AM	12.79		390			H
2023/09/21	Thu	04:39 PM	8.18		249			L
2023/09/21	Thu	09:26 PM	12.84		391			H
2023/09/22	Fri	05:20 AM	-0.24		-7			L
2023/09/22	Fri	12:43 PM	12.75		389			H
2023/09/22	Fri	05:57 PM	8.95		273			L
2023/09/22	Fri	10:14 PM	12.28		374			H
2023/09/23	Sat	06:24 AM	-0.26		-8			L
2023/09/23	Sat	02:20 PM	13.08		399			H
2023/09/23	Sat	07:51 PM	9.05		276			L
2023/09/23	Sat	11:37 PM	11.80		360			H
2023/09/24	Sun	07:34 AM	-0.40		-12			L
2023/09/24	Sun	03:31 PM	13.66		416			H
